"All.LoD.w.o.Outliers","Combined.Costs","US.Ranking","Program.Category","Certificate","Modality","clusters","dimensions.Dim.1","dimensions.Dim.2","dimensions.Dim.3","dimensions.Dim.4","RowID"
100,3750,12,"Marketing","Yes","Online","3", 1.09219116,-1.37459453, 0.40413465, 0.91542947,501
100,3750,12,"Marketing","Yes","Online","3", 1.09219116,-1.37459453, 0.40413465, 0.91542947,502
100,3750,12,"Marketing","Yes","Online","3", 1.09219116,-1.37459453, 0.40413465, 0.91542947,503
 60,3900,12,"STEM-Related","Yes","Online","3", 0.53772052,-0.50872145, 0.20403590, 0.81715952,515
 60,3900,12,"STEM-Related","Yes","Online","3", 0.53772052,-0.50872145, 0.20403590, 0.81715952,516
 60,3900,12,"STEM-Related","Yes","Online","3", 0.53772052,-0.50872145, 0.20403590, 0.81715952,517
 60,3900,12,"STEM-Related","Yes","Online","3", 0.53772052,-0.50872145, 0.20403590, 0.81715952,518
  3,2950, 4,"Governance","Yes","Online","2",-2.00006742, 1.64887546,-1.02683553,-1.75068621,526
 40,2600, 9,"STEM-Related","Yes","Online","2",-1.10910983, 0.20172758,-0.87962751, 0.33149323,532
 40,2600, 9,"STEM-Related","Yes","Online","2",-1.10910983, 0.20172758,-0.87962751, 0.33149323,533
 40,2600, 9,"STEM-Related","Yes","Online","2",-1.10910983, 0.20172758,-0.87962751, 0.33149323,534
 40,2600, 9,"STEM-Related","Yes","Online","2",-1.10910983, 0.20172758,-0.87962751, 0.33149323,535
 40,2600, 9,"STEM-Related","Yes","Online","2",-1.10910983, 0.20172758,-0.87962751, 0.33149323,537
 40,3750,12,"STEM-Related","Yes","Online","3", 0.23764357,-0.11395107, 0.17982571, 0.27796144,542
 40,3750,12,"STEM-Related","Yes","Online","3", 0.23764357,-0.11395107, 0.17982571, 0.27796144,543
 40,3750,12,"STEM-Related","Yes","Online","3", 0.23764357,-0.11395107, 0.17982571, 0.27796144,544
  3,2950, 4,"STEM-Related","Yes","Online","2",-2.04755422, 1.46834015,-1.25536419,-0.12720550,557
 50,3900,12,"STEM-Related","Yes","Online","3", 0.44255130,-0.31103686, 0.23422778, 0.56081427,571
 50,3900,12,"STEM-Related","Yes","Online","3", 0.44255130,-0.31103686, 0.23422778, 0.56081427,572
 50,3900,12,"STEM-Related","Yes","Online","3", 0.44255130,-0.31103686, 0.23422778, 0.56081427,573
